Bank,Id,Total Assets,Total Deposits,Number of Employees,Net Income,Total Liabilities,Total Equity Capital,Derivatives,Return on Assets,Return on Equity
IncredibleBank,590,"$1,878,777,000","$1,651,052,000",264,"$5,134,000","$1,747,208,000","$131,569,000","$101,208,000",1%,16%
Citizens National Bank of Texas,591,"$1,877,459,000","$1,675,329,000",149,"$10,154,000","$1,688,455,000","$189,004,000","$18,558,000",2%,22%
One Community Bank,592,"$1,873,686,000","$1,463,427,000",196,"$3,939,000","$1,695,924,000","$177,762,000",$0,1%,9%
Pioneer Bank,593,"$1,863,928,000","$1,613,845,000",258,"$5,894,000","$1,660,787,000","$203,141,000","$459,911,000",2%,32%
Florence Bank,594,"$1,859,643,000","$1,671,764,000",210,"$4,133,000","$1,697,452,000","$162,191,000",$0,1%,10%
Citizens Community Federal,595,"$1,859,255,000","$1,446,243,000",229,"$4,610,000","$1,637,953,000","$221,302,000","$1,473,000",1%,8%
Kennebunk Savings Bank,596,"$1,858,534,000","$1,620,181,000",333,"$1,998,000","$1,713,383,000","$145,151,000",$0,0%,6%
The Lyons National Bank,597,"$1,854,097,000","$1,715,200,000",226,"$4,341,000","$1,737,515,000","$116,582,000","$8,514,000",1%,15%
The Bank of Commerce,598,"$1,852,790,000","$1,607,905,000",216,"$12,847,000","$1,616,411,000","$236,379,000","$2,177,000",3%,22%
Newtown Savings Bank,599,"$1,851,490,000","$1,585,855,000",243,"$3,147,000","$1,718,759,000","$132,731,000","$79,000,000",1%,10%
Schaumburg Bank & Trust Company,600,"$1,847,724,000","$1,526,545,000",65,"$7,315,000","$1,671,926,000","$175,798,000","$622,350,000",2%,17%
Lincoln Savings Bank,601,"$1,847,687,000","$1,581,097,000",434,"$951,000","$1,690,375,000","$157,312,000","$125,883,000",0%,2%
Easthampton Savings Bank,602,"$1,832,495,000","$1,489,739,000",254,"$5,754,000","$1,662,155,000","$170,340,000",$0,1%,14%
Norway Savings Bank,603,"$1,830,565,000","$1,563,995,000",301,"$4,916,000","$1,630,935,000","$199,630,000","$5,313,000",1%,10%
COMMONWEALTH BUSINESS BANK,604,"$1,821,120,000","$1,538,020,000",170,"$7,244,000","$1,605,653,000","$215,467,000",$0,2%,14%
Security State Bank & Trust,605,"$1,819,974,000","$1,636,758,000",310,"$8,929,000","$1,658,620,000","$161,354,000","$8,595,000",2%,22%
The Conway National Bank,606,"$1,809,702,000","$1,532,690,000",247,"$3,994,000","$1,677,800,000","$131,902,000",$0,1%,13%
Builtwell Bank,607,"$1,807,775,000","$1,606,111,000",314,"$5,614,000","$1,616,561,000","$191,214,000","$619,000",1%,11%
Fidelity Bank & Trust,608,"$1,805,573,000","$1,562,605,000",274,"$3,690,000","$1,629,082,000","$176,491,000","$2,142,000",1%,9%
American National Bank & Trust,609,"$1,803,897,000","$1,568,584,000",283,"$2,650,000","$1,613,664,000","$190,233,000","$10,153,000",1%,6%
Beneficial State Bank,610,"$1,802,541,000","$1,571,371,000",254,"$724,000","$1,641,572,000","$160,969,000","$75,328,000",0%,2%
Security First Bank,611,"$1,795,247,000","$1,485,982,000",257,"$3,569,000","$1,653,009,000","$142,238,000","$14,864,000",1%,10%
Blackhawk Bank & Trust,612,"$1,792,313,000","$1,225,498,000",212,"$3,704,000","$1,640,654,000","$151,659,000","$79,184,000",1%,10%
FNCB Bank,613,"$1,789,699,000","$1,463,482,000",222,"$3,250,000","$1,673,084,000","$116,615,000","$96,353,000",1%,12%
Timberland Bank,614,"$1,785,908,000","$1,550,469,000",296,"$6,699,000","$1,560,477,000","$225,431,000","$200,000",1%,12%
Union County Savings Bank,615,"$1,781,535,000","$1,533,528,000",49,"$-2,391,000","$1,542,139,000","$239,396,000","$95,000,000",-1%,-4%
Commercial Bank,616,"$1,775,953,000","$1,440,165,000",251,"$9,071,000","$1,601,868,000","$174,085,000","$436,483,000",2%,25%
Starion Bank,617,"$1,772,947,000","$1,568,577,000",239,"$2,563,000","$1,652,929,000","$120,018,000","$1,688,000",1%,9%
Heartland Bank,618,"$1,762,595,000","$1,582,994,000",286,"$4,822,000","$1,600,704,000","$161,891,000",$0,2%,22%
Bank Of Clarke,619,"$1,762,153,000","$1,396,487,000",253,"$2,967,000","$1,629,404,000","$132,749,000",$0,1%,9%
Country Bank for Savings,620,"$1,760,125,000","$1,293,267,000",209,"$3,156,000","$1,496,294,000","$263,831,000","$335,000",1%,5%
Evolve Bank & Trust,621,"$1,757,599,000","$1,527,794,000",520,"$6,680,000","$1,619,543,000","$138,056,000","$147,404,000",2%,21%
Bank of Tennessee,622,"$1,752,842,000","$1,559,432,000",280,"$7,019,000","$1,605,742,000","$147,100,000","$16,269,000",2%,19%
Signature Bank,623,"$1,748,608,000","$1,430,779,000",125,"$7,761,000","$1,637,991,000","$128,653,000","$43,521,000",2%,30%
The State Bank,624,"$1,748,355,000","$1,354,015,000",237,"$4,423,000","$1,603,897,000","$144,458,000","$46,749,000",2%,15%
The Moody National Bank,625,"$1,746,059,000","$1,465,732,000",201,"$5,337,000","$1,564,200,000","$181,859,000",$0,1%,12%
North Dallas Bank & Trust Co.,626,"$1,734,530,000","$1,512,380,000",175,"$1,394,000","$1,574,185,000","$160,345,000",$0,0%,4%
"South Central Bank, Inc.",627,"$1,731,466,000","$1,524,537,000",273,"$5,218,000","$1,584,418,000","$147,048,000","$9,983,000",1%,14%
Fall River Five Cents Savings Bank,628,"$1,729,455,000","$1,308,028,000",227,"$838,000","$1,619,051,000","$110,404,000","$438,965,000",0%,3%
Santa Cruz County Bank,629,"$1,727,414,000","$1,461,926,000",152,"$8,879,000","$1,523,174,000","$204,240,000",$0,2%,18%
The Middlefield Banking Company,630,"$1,726,064,000","$1,431,949,000",245,"$5,800,000","$1,530,905,000","$195,159,000","$718,000",1%,12%
The Citizens National Bank of Meridian,631,"$1,724,229,000","$1,537,360,000",331,"$6,202,000","$1,573,453,000","$150,776,000","$227,000",1%,17%
Farmers and Merchants Trust Company of Chambersburg,632,"$1,710,994,000","$1,515,349,000",291,"$3,641,000","$1,581,818,000","$129,176,000","$6,416,000",1%,12%
Bank Five Nine,633,"$1,710,395,000","$1,348,044,000",316,"$3,687,000","$1,550,795,000","$159,600,000","$21,293,000",1%,9%
BankProv,634,"$1,702,150,000","$1,421,237,000",201,"$2,086,000","$1,516,407,000","$185,743,000",$0,0%,5%
Mountain Commerce Bank,635,"$1,697,313,000","$1,387,040,000",116,"$2,724,000","$1,552,370,000","$144,943,000",$0,1%,8%
F&M Bank,636,"$1,686,336,000","$1,469,251,000",252,"$3,532,000","$1,531,739,000","$154,597,000","$39,636,000",1%,13%
"Peoples National Bank , N.A.",637,"$1,679,774,000","$1,538,884,000",277,"$4,411,000","$1,547,086,000","$132,688,000","$1,874,000",1%,13%
The First National Bank in Sioux Falls,638,"$1,677,561,000","$1,485,995,000",264,"$3,350,000","$1,522,508,000","$155,053,000",$0,1%,9%
The Farmers & Merchants Bank,639,"$1,676,943,000","$1,469,907,000",302,"$2,962,000","$1,494,214,000","$182,729,000","$35,852,000",2%,21%
Mabrey Bank,640,"$1,670,564,000","$1,525,288,000",270,"$3,124,000","$1,575,496,000","$95,068,000",$0,1%,14%
Anderson Brothers Bank,641,"$1,666,345,000","$1,513,726,000",392,"$6,158,000","$1,529,633,000","$136,712,000","$16,683,000",2%,18%
Kennebec Savings Bank,642,"$1,665,050,000","$1,329,955,000",189,"$2,714,000","$1,465,010,000","$200,040,000","$162,174,000",1%,5%
"Planters Bank, Inc.",643,"$1,662,507,000","$1,384,044,000",163,"$4,467,000","$1,492,025,000","$170,482,000",$0,1%,11%
Bank 7,644,"$1,659,568,000","$1,491,898,000",123,"$9,606,000","$1,506,611,000","$152,957,000",$0,2%,26%
Embassy Bank for the Lehigh Valley,645,"$1,659,239,000","$1,532,437,000",110,"$3,891,000","$1,564,010,000","$95,229,000",$0,1%,17%
Thomaston Savings Bank,646,"$1,658,786,000","$1,467,546,000",226,"$4,522,000","$1,545,882,000","$112,904,000",$0,1%,17%
First State Bank,647,"$1,657,003,000","$1,555,158,000",343,"$3,460,000","$1,567,056,000","$138,445,000","$73,962,000",3%,33%
The National Bank of Blacksburg,648,"$1,651,097,000","$1,522,701,000",226,"$4,939,000","$1,531,666,000","$119,431,000","$1,750,000",1%,18%
Gorham Savings Bank,649,"$1,649,776,000","$1,413,359,000",200,"$453,000","$1,539,491,000","$110,285,000","$167,099,000",0%,2%
Kitsap Bank,650,"$1,648,214,000","$1,487,069,000",259,"$3,770,000","$1,518,656,000","$129,558,000","$164,269,000",1%,12%
Washington Financial Bank,651,"$1,640,317,000","$1,461,639,000",165,"$4,100,000","$1,480,289,000","$160,028,000","$18,626,000",1%,11%
The Lowell Five Cent Savings Bank,652,"$1,639,868,000","$1,435,186,000",192,"$4,362,000","$1,462,317,000","$177,551,000",$0,1%,10%
First Citizens Bank,653,"$1,634,975,000","$1,458,622,000",206,"$5,596,000","$1,470,635,000","$164,340,000","$5,141,000",2%,15%
Georgia Banking Company,654,"$1,634,090,000","$1,407,086,000",181,"$5,036,000","$1,491,361,000","$142,729,000",$0,1%,14%
Vista Bank,655,"$1,630,145,000","$1,417,023,000",163,"$7,403,000","$1,449,753,000","$180,392,000",$0,2%,17%
FirstBank Southwest,656,"$1,620,255,000","$1,431,937,000",224,"$5,675,000","$1,512,670,000","$107,585,000","$571,000",1%,22%
East Cambridge Savings Bank,657,"$1,619,018,000","$1,459,508,000",168,"$1,984,000","$1,486,236,000","$132,782,000",$0,0%,6%
QNB Bank,658,"$1,613,669,000","$1,424,590,000",200,"$4,287,000","$1,542,600,000","$71,069,000","$385,000",1%,27%
CorTrust Bank,659,"$1,612,636,000","$1,417,627,000",327,"$3,490,000","$1,498,835,000","$113,801,000","$16,406,000",1%,13%
Citizens National Bank,660,"$1,609,158,000","$1,365,114,000",210,"$5,748,000","$1,478,481,000","$130,677,000",$0,2%,23%
"North Shore Bank, a Co-operative Bank",661,"$1,608,225,000","$1,378,878,000",174,"$5,115,000","$1,416,244,000","$191,981,000",$0,1%,11%
"CNB Bank and Trust, N.A.",662,"$1,607,934,000","$1,395,385,000",269,"$3,022,000","$1,487,435,000","$120,499,000","$349,000",1%,10%
"Waterford Bank, N.A.",663,"$1,595,627,000","$1,340,920,000",108,"$3,114,000","$1,470,803,000","$124,824,000","$10,530,000",1%,10%
Riverview Bank,664,"$1,587,755,000","$1,271,949,000",229,"$3,320,000","$1,411,922,000","$175,833,000",$0,1%,8%
"BankWest, Inc.",665,"$1,587,614,000","$1,380,865,000",355,"$840,000","$1,473,191,000","$114,423,000","$4,022,000",0%,3%
The Bank of Princeton,666,"$1,585,684,000","$1,292,100,000",176,"$6,097,000","$1,360,411,000","$225,273,000",$0,2%,11%
"Heritage Bank, Inc.",667,"$1,582,038,000","$1,387,240,000",204,"$3,789,000","$1,500,834,000","$81,204,000","$80,696,000",1%,20%
Plumas Bank,668,"$1,578,697,000","$1,409,311,000",180,"$6,658,000","$1,442,146,000","$136,551,000",$0,2%,20%
Crystal Lake Bank and Trust Company,669,"$1,577,469,000","$1,316,878,000",61,"$8,432,000","$1,433,813,000","$143,656,000","$406,332,000",2%,24%
One Florida Bank,670,"$1,576,070,000","$1,442,506,000",158,"$3,175,000","$1,453,819,000","$122,251,000",$0,1%,11%
The Adirondack Trust Company,671,"$1,574,123,000","$1,413,464,000",246,"$2,464,000","$1,438,966,000","$135,157,000",$0,1%,8%
First Financial Northwest Bank,672,"$1,573,810,000","$1,244,982,000",148,"$2,459,000","$1,424,741,000","$149,069,000","$95,000,000",1%,7%
"Citizens National Bank, N.A.",673,"$1,572,168,000","$1,329,658,000",208,"$4,240,000","$1,470,488,000","$101,680,000","$5,200,000",1%,17%
Virginia National Bank,674,"$1,571,370,000","$1,399,801,000",151,"$5,743,000","$1,428,978,000","$142,392,000",$0,1%,17%
Meredith Village Savings Bank,675,"$1,570,160,000","$1,147,694,000",234,"$1,987,000","$1,439,082,000","$131,078,000","$693,000",1%,6%
Thomasville National Bank,676,"$1,569,296,000","$1,325,531,000",132,"$8,849,000","$1,429,425,000","$139,871,000",$0,2%,26%
Great Plains National Bank,677,"$1,568,238,000","$1,397,557,000",350,"$5,510,000","$1,424,884,000","$143,354,000","$12,905,000",1%,16%
Salisbury Bank and Trust Company,678,"$1,565,334,000","$1,298,233,000",168,"$3,620,000","$1,414,494,000","$150,840,000",$0,1%,10%
Chelsea Groton Bank,679,"$1,561,240,000","$1,296,371,000",200,"$5,408,000","$1,362,879,000","$198,361,000","$148,000",1%,11%
Golden Bank,680,"$1,557,241,000","$1,301,076,000",144,"$6,632,000","$1,354,959,000","$202,282,000",$0,2%,13%
Fieldpoint Private Bank & Trust,681,"$1,553,702,000","$1,173,055,000",69,"$-4,172,000","$1,459,534,000","$94,168,000","$200,000,000",-1%,-17%
Availa Bank,682,"$1,550,482,000","$1,326,841,000",188,"$1,601,000","$1,428,450,000","$122,032,000","$2,655,000",0%,5%
The First National Bank and Trust Company,683,"$1,546,393,000","$1,295,326,000",258,"$1,589,000","$1,442,798,000","$103,595,000","$21,582,000",0%,6%
Mission Bank,684,"$1,543,276,000","$1,362,898,000",131,"$6,838,000","$1,398,370,000","$144,906,000",$0,2%,24%
Newburyport Five Cents Savings Bank,685,"$1,539,132,000","$1,340,728,000",173,"$1,172,000","$1,411,317,000","$127,815,000","$311,293,000",0%,4%
Cogent Bank,686,"$1,538,946,000","$1,348,770,000",190,"$5,464,000","$1,413,655,000","$125,291,000",$0,1%,18%
BankFinancial,687,"$1,536,638,000","$1,327,658,000",202,"$3,117,000","$1,377,245,000","$159,393,000",$0,1%,8%
North Easton Savings Bank,688,"$1,525,529,000","$1,338,414,000",169,"$1,524,000","$1,391,971,000","$133,558,000","$392,480,000",0%,5%
Providence Bank & Trust,689,"$1,520,354,000","$1,304,293,000",200,"$4,488,000","$1,378,920,000","$141,434,000","$1,265,000",1%,13%
Citizens Bank of Lafayette,690,"$1,517,029,000","$1,297,558,000",263,"$3,806,000","$1,383,662,000","$133,367,000",$0,1%,12%
Cornerstone Bank,691,"$1,516,772,000","$1,241,862,000",193,"$4,217,000","$1,398,966,000","$117,806,000","$141,139,000",1%,22%
Landmark National Bank,692,"$1,516,594,000","$1,302,745,000",281,"$3,503,000","$1,372,303,000","$144,291,000","$16,326,000",1%,10%
Legacy Bank & Trust Company,693,"$1,514,913,000","$1,310,882,000",132,"$4,066,000","$1,353,378,000","$161,535,000",$0,1%,10%
The Bank of New York Mellon Trust Company,694,"$1,514,786,000","$1,079,000",774,"$74,715,000","$288,049,000","$1,226,737,000",$0,20%,24%
American Heritage Bank,695,"$1,513,010,000","$1,236,868,000",265,"$3,681,000","$1,399,548,000","$113,462,000","$734,000",2%,27%
American Bank of Commerce,696,"$1,512,833,000","$1,273,031,000",169,"$1,776,000","$1,438,424,000","$74,409,000","$652,000",0%,10%
Waukesha State Bank,697,"$1,511,704,000","$1,203,758,000",311,"$1,249,000","$1,376,193,000","$135,511,000","$13,305,000",0%,4%
Forcht Bank,698,"$1,511,166,000","$1,322,010,000",278,"$2,016,000","$1,378,019,000","$133,147,000",$0,1%,6%
American Bank & Trust,699,"$1,509,074,000","$1,331,013,000",181,"$5,060,000","$1,380,477,000","$128,597,000","$7,217,000",1%,16%
Jersey Shore State Bank,700,"$1,501,864,000","$1,187,981,000",239,"$3,415,000","$1,387,982,000","$113,882,000","$3,421,000",1%,12%
Main Street Bank,701,"$1,500,433,000","$1,254,539,000",185,"$1,866,000","$1,358,822,000","$141,611,000","$39,512,000",1%,5%
Malaga Bank F.S.B.,702,"$1,498,458,000","$953,562,000",75,"$6,076,000","$1,301,661,000","$196,797,000",$0,2%,12%
Androscoggin Savings Bank,703,"$1,498,353,000","$1,191,607,000",203,"$2,128,000","$1,368,986,000","$129,367,000","$306,755,000",1%,7%
Cape Cod Co-operative Bank,704,"$1,493,389,000","$1,273,351,000",161,"$1,175,000","$1,348,661,000","$144,728,000","$64,422,000",0%,3%
PBI Bank,705,"$1,487,347,000","$1,229,342,000",208,$0,"$1,318,606,000","$168,741,000",$0,0%,0%
NorthEast Community Bank,706,"$1,480,115,000","$1,212,545,000",134,"$11,275,000","$1,247,899,000","$232,216,000",$0,3%,20%
First American Bank and Trust,707,"$1,475,175,000","$1,223,001,000",224,"$3,156,000","$1,355,386,000","$119,789,000",$0,1%,11%
South Atlantic Bank,708,"$1,474,758,000","$1,264,733,000",164,"$3,370,000","$1,359,764,000","$114,994,000","$80,000,000",1%,13%
One Bank of Tennessee,709,"$1,455,580,000","$1,343,913,000",221,"$3,600,000","$1,372,091,000","$83,489,000",$0,1%,18%
Bankers' Bank,710,"$1,449,430,000","$818,864,000",149,"$1,486,000","$1,316,132,000","$133,298,000","$36,453,000",0%,5%
Bluestone Bank,711,"$1,448,316,000","$1,248,993,000",170,"$923,000","$1,341,198,000","$107,118,000","$4,815,000",0%,4%
Crescent Bank,712,"$1,448,283,000","$1,264,073,000",422,"$-7,985,000","$1,285,541,000","$162,742,000",$0,-2%,-19%
Troy Bank & Trust Company,713,"$1,448,218,000","$1,308,783,000",170,"$720,000","$1,319,938,000","$128,280,000","$3,882,000",0%,2%
Fortis Private Bank,714,"$1,444,396,000","$1,237,092,000",88,"$-506,000","$1,351,366,000","$93,030,000","$134,061,000",0%,-2%
Fidelity Co-operative Bank,715,"$1,442,835,000","$1,228,140,000",166,"$1,777,000","$1,320,034,000","$122,801,000","$158,859,000",1%,6%
Alma Bank,716,"$1,442,769,000","$1,285,440,000",168,"$314,000","$1,302,791,000","$139,978,000",$0,0%,1%
Cass Commercial Bank,717,"$1,439,218,000","$1,267,091,000",68,"$7,035,000","$1,277,030,000","$162,188,000","$6,926,000",2%,17%
SouthPoint Bank,718,"$1,433,526,000","$1,043,436,000",159,"$4,326,000","$1,303,983,000","$129,543,000",$0,1%,14%
Bank of Blue Valley,719,"$1,433,092,000","$1,244,600,000",61,"$3,803,000","$1,266,400,000","$166,692,000","$32,537,000",1%,9%
Esquire Bank,720,"$1,427,519,000","$1,272,021,000",118,"$9,889,000","$1,290,782,000","$136,737,000",$0,3%,30%
Security National Bank of Omaha,721,"$1,425,909,000","$1,231,069,000",204,"$5,149,000","$1,299,321,000","$126,588,000","$1,811,000",1%,17%
The Cecilian Bank,722,"$1,425,238,000","$1,191,577,000",239,"$3,869,000","$1,309,187,000","$116,051,000",$0,1%,14%
Watertown Savings Bank,723,"$1,424,691,000","$1,282,359,000",122,"$2,516,000","$1,302,995,000","$124,296,000",$0,1%,8%
Morris Bank,724,"$1,424,219,000","$1,224,302,000",183,"$4,619,000","$1,254,676,000","$169,543,000",$0,1%,10%
Bank of Springfield,725,"$1,417,577,000","$1,203,223,000",322,"$3,316,000","$1,293,912,000","$123,665,000","$21,308,000",1%,11%
Northfield Savings Bank,726,"$1,413,583,000","$1,126,353,000",188,"$1,606,000","$1,292,383,000","$121,200,000",$0,0%,5%
The Old Point National Bank of Phoebus,727,"$1,407,919,000","$1,204,461,000",275,"$3,487,000","$1,287,415,000","$120,504,000","$42,428,000",1%,12%
The Citizens Bank,728,"$1,407,677,000","$1,283,348,000",212,"$3,623,000","$1,296,303,000","$111,374,000","$947,000",2%,64%
First Federal Savings Bank of Twin Falls,729,"$1,406,999,000","$1,125,169,000",251,"$1,819,000","$1,305,124,000","$101,875,000","$2,009,000",1%,7%
First National Bank of Central Texas,730,"$1,405,727,000","$1,199,681,000",103,"$8,580,000","$1,289,524,000","$116,203,000",$0,3%,30%
The Park Bank,731,"$1,405,713,000","$1,132,145,000",165,"$1,766,000","$1,271,916,000","$133,797,000","$53,433,000",1%,5%
Pathfinder Bank,732,"$1,405,059,000","$1,155,242,000",162,"$3,131,000","$1,276,613,000","$128,446,000","$142,820,000",1%,10%
Evergreen Bank Group,733,"$1,402,487,000","$1,205,749,000",188,"$3,061,000","$1,252,893,000","$149,594,000",$0,1%,8%
THE VINTON COUNTY NATIONAL BANK,734,"$1,390,250,000","$1,209,280,000",236,"$2,528,000","$1,256,611,000","$133,639,000",$0,1%,8%
Community Financial Services Bank,735,"$1,385,726,000","$1,251,538,000",251,"$2,181,000","$1,285,994,000","$99,732,000","$16,028,000",1%,9%
Lone Star State Bank of West Texas,736,"$1,383,606,000","$1,231,608,000",92,"$10,952,000","$1,234,466,000","$149,140,000",$0,3%,30%
First Commerce Bank,737,"$1,382,231,000","$1,047,490,000",166,"$3,346,000","$1,199,254,000","$182,977,000",$0,2%,19%
Century Bank,738,"$1,380,910,000","$1,210,004,000",173,"$6,429,000","$1,274,034,000","$106,876,000",$0,2%,24%
Bank of Utica,739,"$1,379,495,000","$1,056,911,000",44,"$288,000","$1,077,449,000","$302,046,000",$0,0%,0%
Savings Bank of Danbury,740,"$1,375,784,000","$1,110,502,000",189,"$4,591,000","$1,195,419,000","$180,365,000",$0,1%,10%
Kish Bank,741,"$1,375,658,000","$1,075,854,000",225,"$3,742,000","$1,270,117,000","$105,541,000","$202,179,000",1%,15%
Sterling Bank,742,"$1,371,847,000","$1,192,463,000",144,"$6,277,000","$1,209,470,000","$162,377,000",$0,2%,16%
Abington Bank,743,"$1,369,642,000","$1,008,502,000",104,"$3,395,000","$1,146,909,000","$222,733,000",$0,1%,6%
Northway Bank,744,"$1,364,518,000","$1,019,790,000",193,"$1,469,000","$1,278,316,000","$86,202,000","$106,082,000",0%,7%
Peoples State Bank,745,"$1,359,450,000","$1,120,797,000",197,"$3,261,000","$1,249,956,000","$109,494,000","$541,000",3%,38%
First Bank Richmond,746,"$1,357,547,000","$1,054,130,000",181,"$3,132,000","$1,249,323,000","$108,224,000",$0,1%,12%
American Commercial Bank & Trust,747,"$1,353,327,000","$1,104,619,000",151,"$3,359,000","$1,241,404,000","$111,923,000",$0,1%,12%
